50 32
8R 5P 19S
21R 8P 3S
15R 16P 1S
13R 8P 11S
8R 21P 3S
2R 9P 21S
21R 8P 3S
18R 7P 7S
6R 12P 14S
15R 8P 9S
3R 27P 2S
21R 8P 3S
8R 4P 20S
13R 6P 13S
20R 9P 3S
15R 15P 2S
11R 4P 17S
3R 23P 6S
15R 16P 1S
22R 9P 1S
6R 7P 19S
5R 19P 8S
1R 9P 22S
18R 10P 4S
15R 7P 10S
5R 6P 21S
14R 8P 10S
5R 12P 15S
13R 9P 10S
20R 10P 2S
6R 9P 17S
4R 19P 9S
3R 7P 22S
17R 12P 3S
7R 8P 17S
3R 26P 3S
5R 19P 8S
8R 23P 1S
16R 9P 7S
3R 25P 4S
13R 9P 10S
19R 10P 3S
11R 14P 7S
2R 18P 12S
1R 8P 23S
12R 11P 9S
1R 24P 7S
6R 22P 4S
19R 9P 4S
2R 24P 6S
